Country,Year,Developed,Medals,,,,,,,,,
Bahrain,1992,T,0,,,,,,,,,
Bahrain,1996,T,0,,,,,,,,,
Bahrain,2000,T,0,,,,,,,,,
Bahrain,2004,T,0,,,,,,,,,
Bahrain,2008,T,0,,,,,,,,,
Bahrain,2012,T,1,,,,,,,,,
Belarus,1948,F,0,,,,,,,,,
Belarus,1952,F,0,,,,,,,,,
Belarus,1956,F,0,,,,,,,,,
Belarus,1960,F,0,,,,,,,,,
Belarus,1964,F,0,,,,,,,,,
Belarus,1968,F,0,,,,,,,,,
Belarus,1972,F,0,,,,,,,,,
Belarus,1976,F,0,,,,,,,,,
Belarus,1980,F,0,,,,,,,,,
Belarus,1984,F,0,,,,,,,,,
Belarus,1988,F,0,,,,,,,,,
Belarus,1992,F,0,,,,,,,,,
Belarus,1996,F,23,,,,,,,,,
Belarus,2000,F,22,,,,,,,,,
Belarus,2004,F,17,,,,,,,,,
Belarus,2008,F,30,,,,,,,,,
Belarus,2012,F,21,,,,,,,,,
Belgium,1948,T,14,,,,,,,,,
Belgium,1952,T,7,,,,,,,,,
Belgium,1956,T,2,,,,,,,,,
Belgium,1960,T,4,,,,,,,,,
Belgium,1964,T,3,,,,,,,,,
Belgium,1968,T,3,,,,,,,,,
Belgium,1972,T,2,,,,,,,,,
Belgium,1976,T,9,,,,,,,,,
Belgium,1980,T,1,,,,,,,,,
Belgium,1984,T,5,,,,,,,,,
Belgium,1988,T,2,,,,,,,,,
Belgium,1992,T,3,,,,,,,,,
Belgium,1996,T,6,,,,,,,,,
Belgium,2000,T,7,,,,,,,,,
Belgium,2004,T,3,,,,,,,,,
Belgium,2008,T,5,,,,,,,,,
Belgium,2012,T,3,,,,,,,,,
Bermuda,1948,F,0,,,,,,,,,
Bermuda,1952,F,0,,,,,,,,,
Bermuda,1956,F,0,,,,,,,,,
Bermuda,1960,F,0,,,,,,,,,
Bermuda,1964,F,0,,,,,,,,,
Bermuda,1968,F,0,,,,,,,,,
Bermuda,1972,F,0,,,,,,,,,
Bermuda,1976,F,1,,,,,,,,,
Bermuda,1980,F,0,,,,,,,,,
Bermuda,1984,F,0,,,,,,,,,
Bermuda,1988,F,0,,,,,,,,,
Bermuda,1992,F,0,,,,,,,,,
Bermuda,1996,F,0,,,,,,,,,
Bermuda,2000,F,0,,,,,,,,,
Bermuda,2004,F,0,,,,,,,,,
Bermuda,2008,F,0,,,,,,,,,
Bermuda,2012,F,0,,,,,,,,,
Botswana,1948,F,0,,,,,,,,,
Botswana,1952,F,0,,,,,,,,,
Botswana,1956,F,0,,,,,,,,,
Botswana,1960,F,0,,,,,,,,,
Botswana,1964,F,0,,,,,,,,,
Botswana,1968,F,0,,,,,,,,,
Botswana,1972,F,0,,,,,,,,,
Botswana,1976,F,0,,,,,,,,,
Botswana,1980,F,0,,,,,,,,,
Botswana,1984,F,0,,,,,,,,,
Botswana,1988,F,0,,,,,,,,,
Botswana,1992,F,0,,,,,,,,,
Botswana,1996,F,0,,,,,,,,,
Botswana,2000,F,0,,,,,,,,,
Botswana,2004,F,0,,,,,,,,,
Botswana,2008,F,0,,,,,,,,,
Botswana,2012,F,1,,,,,,,,,
Brazil,1948,F,12,,,,,,,,,
Brazil,1952,F,3,,,,,,,,,
Brazil,1956,F,1,,,,,,,,,
Brazil,1960,F,13,,,,,,,,,
Brazil,1964,F,12,,,,,,,,,
Brazil,1968,F,4,,,,,,,,,
Brazil,1972,F,2,,,,,,,,,
Brazil,1976,F,3,,,,,,,,,
Brazil,1980,F,9,,,,,,,,,
Brazil,1984,F,37,,,,,,,,,
Brazil,1988,F,28,,,,,,,,,
Brazil,1992,F,14,,,,,,,,,
Brazil,1996,F,64,,,,,,,,,
Brazil,2000,F,48,,,,,,,,,
Brazil,2004,F,40,,,,,,,,,
Brazil,2008,F,75,,,,,,,,,
Brazil,2012,F,59,,,,,,,,,
Brunei,1948,F,0,,,,,,,,,
Brunei,1952,F,0,,,,,,,,,
Brunei,1956,F,0,,,,,,,,,
Brunei,1960,F,0,,,,,,,,,
Brunei,1964,F,0,,,,,,,,,
Brunei,1968,F,0,,,,,,,,,
Brunei,1972,F,0,,,,,,,,,
Brunei,1976,F,0,,,,,,,,,
Brunei,1980,F,0,,,,,,,,,
Brunei,1984,F,0,,,,,,,,,
Brunei,1988,F,0,,,,,,,,,
Brunei,1992,T,0,,,,,,,,,
Brunei,1996,T,0,,,,,,,,,
Brunei,2000,T,0,,,,,,,,,
Brunei,2004,T,0,,,,,,,,,
Brunei,2008,T,0,,,,,,,,,
Brunei,2012,T,0,,,,,,,,,
Bulgaria,1948,F,0,,,,,,,,,
Bulgaria,1952,F,1,,,,,,,,,
Bulgaria,1956,F,18,,,,,,,,,
Bulgaria,1960,F,7,,,,,,,,,
Bulgaria,1964,F,10,,,,,,,,,
Bulgaria,1968,F,26,,,,,,,,,
Bulgaria,1972,F,22,,,,,,,,,
Bulgaria,1976,F,39,,,,,,,,,
Bulgaria,1980,T,94,,,,,,,,,
Bulgaria,1984,T,0,,,,,,,,,
Bulgaria,1988,F,41,,,,,,,,,
Bulgaria,1992,F,17,,,,,,,,,
Bulgaria,1996,F,21,,,,,,,,,
Bulgaria,2000,F,13,,,,,,,,,
Bulgaria,2004,F,17,,,,,,,,,
Bulgaria,2008,F,5,,,,,,,,,
Bulgaria,2012,F,2,,,,,,,,,
Burundi,1948,F,0,,,,,,,Japan,2010,89.416603
Burundi,1952,F,0,,,,,,,Kazakhstan,2010,82.860207
Burundi,1956,F,0,,,,,,,Latvia,2010,83.01342
Burundi,1960,F,0,,,,,,,Lithuania,2010,83.806778
Burundi,1964,F,0,,,,,,,Luxembourg,1950,84.835541
Burundi,1968,F,0,,,,,,,Luxembourg,1960,84.939491
Burundi,1972,F,0,,,,,,,Luxembourg,1970,84.859268
Burundi,1976,F,0,,,,,,,Luxembourg,1980,86.221436
Burundi,1980,F,0,,,,,,,Luxembourg,1990,92.251328
Burundi,1984,F,0,,,,,,,Luxembourg,2000,92.010735
Burundi,1988,F,0,,,,,,,Luxembourg,2010,91.404564
Burundi,1992,F,0,,,,,,,Macao,1990,81.320267
Burundi,1996,F,1,,,,,,,Malaysia,2000,82.150459
Burundi,2000,F,0,,,,,,,Malaysia,2010,82.217072
Burundi,2004,F,0,,,,,,,Malta,1980,80.763268
Burundi,2008,F,0,,,,,,,Malta,1990,82.133095
Burundi,2012,F,0,,,,,,,Malta,2000,83.030815
Cameroon,1948,F,0,,,,,,,,,
Cameroon,1952,F,0,,,,,,,,,
Cameroon,1956,F,0,,,,,,,,,
Cameroon,1960,F,0,,,,,,,,,
Cameroon,1964,F,0,,,,,,,,,
Cameroon,1968,F,1,,,,,,,,,
Cameroon,1972,F,0,,,,,,,,,
Cameroon,1976,F,0,,,,,,,,,
Cameroon,1980,F,0,,,,,,,,,
Cameroon,1984,F,1,,,,,,,,,
Cameroon,1988,F,0,,,,,,,,,
Cameroon,1992,F,0,,,,,,,,,
Cameroon,1996,F,0,,,,,,,,,
Cameroon,2000,F,18,,,,,,,,,
Cameroon,2004,F,1,,,,,,,,,
Cameroon,2008,F,1,,,,,,,,,
Cameroon,2012,F,1,,,,,,,,,
Canada,1948,T,6,,,,,,,,,
Canada,1952,T,4,,,,,,,,,
Canada,1956,T,19,,,,,,,,,
Canada,1960,T,9,,,,,,,,,
Canada,1964,T,5,,,,,,,,,
Canada,1968,T,10,,,,,,,,,
Canada,1972,T,10,,,,,,,,,
Canada,1976,T,20,,,,,,,,,
Canada,1980,T,0,,,,,,,,,
Canada,1984,T,86,,,,,,,,,
Canada,1988,T,21,,,,,,,,,
Canada,1992,T,44,,,,,,,,,
Canada,1996,T,51,,,,,,,,,
Canada,2000,T,31,,,,,,,,,
Canada,2004,T,17,,,,,,,,,
Canada,2008,T,34,,,,,,,,,
Canada,2012,T,57,,,,,,,,,
Chile,1948,T,0,,,,,,,,,
Chile,1952,T,4,,,,,,,,,
Chile,1956,T,4,,,,,,,,,
Chile,1960,T,0,,,,,,,,,
Chile,1964,T,0,,,,,,,,,
Chile,1968,T,0,,,,,,,,,
Chile,1972,F,0,,,,,,,,,
Chile,1976,F,0,,,,,,,,,
Chile,1980,F,0,,,,,,,,,
Chile,1984,F,0,,,,,,,,,
Chile,1988,F,1,,,,,,,,,
Chile,1992,F,0,,,,,,,,,
Chile,1996,F,0,,,,,,,,,
Chile,2000,T,18,,,,,,,,,
Chile,2004,T,4,,,,,,,,,
Chile,2008,T,1,,,,,,,,,
Chile,2012,T,0,,,,,,,,,
China,1948,F,0,,,,,,,,,
China,1952,F,0,,,,,,,,,
China,1956,F,0,,,,,,,,,
China,1960,F,0,,,,,,,,,
China,1964,F,0,,,,,,,,,
China,1968,F,0,,,,,,,,,
China,1972,F,0,,,,,,,,,
China,1976,F,0,,,,,,,,,
China,1980,F,0,,,,,,,,,
China,1984,F,76,,,,,,,,,
China,1988,F,53,,,,,,,,,
China,1992,F,83,,,,,,,,,
China,1996,F,110,,,,,,,,,
China,2000,F,79,,,,,,,,,
China,2004,F,94,,,,,,,,,
China,2008,F,184,,,,,,,,,
China,2012,F,128,,,,,,,,,
Colombia,1948,F,0,,,,,,,,,
Colombia,1952,F,0,,,,,,,,,
Colombia,1956,F,0,,,,,,,,,
Colombia,1960,F,0,,,,,,,,,
Colombia,1964,F,0,,,,,,,,,
Colombia,1968,F,0,,,,,,,,,
Colombia,1972,F,3,,,,,,,,,
Colombia,1976,F,0,,,,,,,,,
Colombia,1980,F,0,,,,,,,,,
Colombia,1984,F,1,,,,,,,,,
Colombia,1988,F,1,,,,,,,,,
Colombia,1992,F,1,,,,,,,,,
Colombia,1996,F,0,,,,,,,,,
Colombia,2000,F,1,,,,,,,,,
Colombia,2004,F,2,,,,,,,,,
Colombia,2008,F,2,,,,,,,,,
Colombia,2012,F,8,,,,,,,,,
Costa Rica,1948,F,0,,,,,,,,,
Costa Rica,1952,F,0,,,,,,,,,
Costa Rica,1956,F,0,,,,,,,,,
Costa Rica,1960,F,0,,,,,,,,,
Costa Rica,1964,F,0,,,,,,,,,
Costa Rica,1968,F,0,,,,,,,,,
Costa Rica,1972,F,0,,,,,,,,,
